,RSI
2024-06-05,54.3853
2024-06-04,54.0732
2024-06-03,54.2858
2024-05-31,54.3700
2024-05-30,54.8921
2024-05-29,54.9888
2024-05-28,55.2635
2024-05-24,55.1254
2024-05-23,55.5294
2024-05-22,55.3672
2024-05-21,55.1828
2024-05-20,54.8065
2024-05-17,54.9682
2024-05-16,54.9262
2024-05-15,54.7044
2024-05-14,54.3255
2024-05-13,54.7377
2024-05-10,54.4463
2024-05-09,54.3099
2024-05-08,54.1714
2024-05-07,54.6170
2024-05-06,54.2768
2024-05-03,53.8991
2024-05-02,53.6273
2024-05-01,53.3281
2024-04-30,53.9370
2024-04-29,54.1977
2024-04-26,54.6817
2024-04-25,53.6010
2024-04-24,54.7125
2024-04-23,54.3898
2024-04-22,54.1361
2024-04-19,54.4224
2024-04-18,54.9053
2024-04-17,55.3958
2024-04-16,55.2347
2024-04-15,56.1402
2024-04-12,55.9880
2024-04-11,56.1225
2024-04-10,55.9064
2024-04-09,56.2291
2024-04-08,56.1538
2024-04-05,55.8470
2024-04-04,56.2248
2024-04-03,55.9113
2024-04-02,55.9401
2024-04-01,56.2313
2024-03-28,56.0541
2024-03-27,56.3182
2024-03-26,56.4071
2024-03-25,56.3854
2024-03-22,56.7235
2024-03-21,56.7334
2024-03-20,56.2776
2024-03-19,56.0322
2024-03-18,55.8204
2024-03-15,56.1997
2024-03-14,56.2714
2024-03-13,56.1460
2024-03-12,55.5244
2024-03-11,55.2922
2024-03-08,55.6065
2024-03-07,55.4962
2024-03-06,55.3071
2024-03-05,56.1352
2024-03-04,56.1043
2024-03-01,55.9753
2024-02-29,55.8188
2024-02-28,55.7912
2024-02-27,55.7802
2024-02-26,56.0390
2024-02-23,56.3555
2024-02-22,56.0343
2024-02-21,55.4377
2024-02-20,55.6680
2024-02-16,56.0240
2024-02-15,56.0376
2024-02-14,56.0335
2024-02-13,55.8051
2024-02-12,56.9914
2024-02-09,56.6801
2024-02-08,56.6094
2024-02-07,56.2178
2024-02-06,56.1249
2024-02-05,56.4321
2024-02-02,56.0696
2024-02-01,55.9510
2024-01-31,56.3431
2024-01-30,56.7518
2024-01-29,56.3835
2024-01-26,56.2825
2024-01-25,56.2796
2024-01-24,56.1141
2024-01-23,55.7671
2024-01-22,56.0925
2024-01-19,55.8367
2024-01-18,55.5926
2024-01-17,55.3653
2024-01-16,55.7969
2024-01-12,55.2982
2024-01-11,55.3370
2024-01-10,54.7408
2024-01-09,54.4670
2024-01-08,54.2960
2024-01-05,54.2752
2024-01-04,54.4018
2024-01-03,54.2982
2024-01-02,54.6602
2023-12-29,54.8206
2023-12-28,54.7817
2023-12-27,54.6782
2023-12-26,54.7755
2023-12-22,54.6947
2023-12-21,54.6263
2023-12-20,54.8057
2023-12-19,54.5922
2023-12-18,54.4678
2023-12-15,54.3091
2023-12-14,54.7812
2023-12-13,54.9807
2023-12-12,54.6673
2023-12-11,54.5229
2023-12-08,54.5755
2023-12-07,54.5167
2023-12-06,54.9035
2023-12-05,54.4744
2023-12-04,54.6679
2023-12-01,55.2320
2023-11-30,55.3604
2023-11-29,55.7532
2023-11-28,55.4302
2023-11-27,55.3360
2023-11-24,55.3768
2023-11-22,55.4263
2023-11-21,55.2880
2023-11-20,55.0228
2023-11-17,55.1978
2023-11-16,55.0400
2023-11-15,55.0633
2023-11-14,55.0029
2023-11-13,54.8380
2023-11-10,54.4374
2023-11-09,54.4953
2023-11-08,54.4584
2023-11-07,54.3229
2023-11-06,53.9674
2023-11-03,53.7373
2023-11-02,53.5929
2023-11-01,53.1393
2023-10-31,53.0818
2023-10-30,52.7475
2023-10-27,52.5629
2023-10-26,53.2643
2023-10-25,53.5793
2023-10-24,52.7273
2023-10-23,52.3576
2023-10-20,52.7980
2023-10-19,52.8285
2023-10-18,52.8524
2023-10-17,52.6703
2023-10-16,52.7724
2023-10-13,52.8653
2023-10-12,52.7524
2023-10-11,52.7971
2023-10-10,52.7817
2023-10-09,52.3966
2023-10-06,51.8812
2023-10-05,52.0549
2023-10-04,51.7345
2023-10-03,52.2009
2023-10-02,51.9123
2023-09-29,52.0133
2023-09-28,51.5824
2023-09-27,51.6718
2023-09-26,51.8652
2023-09-25,51.9650
2023-09-22,52.2894
2023-09-21,52.1600
2023-09-20,52.8700
2023-09-19,52.6611
2023-09-18,52.7747
2023-09-15,53.4161
2023-09-14,53.5744
2023-09-13,53.0878
2023-09-12,53.4080
2023-09-11,53.5095
2023-09-08,53.0639
2023-09-07,53.1490
2023-09-06,53.2971
2023-09-05,53.0242
2023-09-01,53.1872
2023-08-31,53.0560
2023-08-30,53.0231
2023-08-29,52.5995
2023-08-28,52.8635
2023-08-25,52.6011
2023-08-24,53.4046
2023-08-23,52.8358
2023-08-22,52.9555
2023-08-21,52.4728
2023-08-18,52.2514
2023-08-17,52.6810
2023-08-16,52.6995
2023-08-15,52.8073
2023-08-14,52.7053
2023-08-11,52.6338
2023-08-10,53.0400
2023-08-09,53.0722
2023-08-08,53.1068
2023-08-07,53.2060
2023-08-04,53.4533
2023-08-03,53.0898
2023-08-02,53.6306
2023-08-01,53.7420
2023-07-31,53.8654
2023-07-28,53.6665
2023-07-27,54.1533
2023-07-26,54.2222
2023-07-25,54.6312
2023-07-24,54.5554
2023-07-21,54.7940
2023-07-20,55.1151
2023-07-19,55.7164
2023-07-18,54.7606
2023-07-17,54.7513
2023-07-14,54.8923
2023-07-13,54.4019
2023-07-12,54.2193
2023-07-11,53.8755
2023-07-10,54.1340
2023-07-07,54.4808
2023-07-06,54.3563
2023-07-05,54.2200
2023-07-03,54.5206
2023-06-30,54.4323
2023-06-29,54.2457
2023-06-28,54.2426
2023-06-27,54.0712
2023-06-26,54.2054
2023-06-23,54.2516
2023-06-22,54.2370
2023-06-21,54.3982
2023-06-20,54.6091
2023-06-16,55.4837
2023-06-15,54.6510
2023-06-14,54.4586
2023-06-13,54.4678
2023-06-12,54.1066
2023-06-09,53.8845
2023-06-08,53.8192
2023-06-07,54.3798
2023-06-06,54.6499
2023-06-05,54.6432
2023-06-02,54.5842
2023-06-01,54.0755
2023-05-31,54.5403
2023-05-30,54.7568
2023-05-26,54.0651
2023-05-25,54.0164
2023-05-24,53.4813
2023-05-23,53.8698
2023-05-22,53.7796
2023-05-19,53.6625
2023-05-18,53.5232
2023-05-17,53.3818
2023-05-16,53.1840
2023-05-15,53.1376
2023-05-12,53.2415
2023-05-11,53.2133
2023-05-10,53.1210
2023-05-09,53.0823
2023-05-08,53.2322
2023-05-05,52.9586
2023-05-04,52.9950
2023-05-03,53.0215
2023-05-02,53.1007
2023-05-01,53.0523
2023-04-28,52.8712
2023-04-27,52.3745
2023-04-26,52.4244
2023-04-25,51.3379
2023-04-24,51.5136
2023-04-21,51.7129
2023-04-20,51.7293
2023-04-19,51.7796
2023-04-18,52.1599
2023-04-17,52.0569
2023-04-14,51.8727
2023-04-13,51.6577
2023-04-12,51.7386
2023-04-11,51.8033
2023-04-10,52.0362
2023-04-06,51.6611
2023-04-05,51.8386
2023-04-04,51.9315
2023-04-03,51.8873
2023-03-31,51.7141
2023-03-30,51.7473
2023-03-29,51.4200
2023-03-28,51.2220
2023-03-27,51.5326
2023-03-24,51.3294
2023-03-23,51.3754
2023-03-22,51.0924
2023-03-21,51.1890
2023-03-20,51.3261
2023-03-17,51.4095
2023-03-16,50.5941
2023-03-15,50.2617
2023-03-14,50.0551
2023-03-13,49.4501
2023-03-10,49.6858
2023-03-09,49.9911
2023-03-08,49.8760
2023-03-07,50.0215
2023-03-06,50.0295
2023-03-03,49.7576
2023-03-02,49.3928
2023-03-01,49.6606
2023-02-28,49.5513
2023-02-27,49.7670
2023-02-24,49.6061
2023-02-23,49.9628
2023-02-22,49.8686
2023-02-21,49.8934
2023-02-17,50.2059
2023-02-16,50.5028
2023-02-15,50.7802
2023-02-14,51.0178
2023-02-13,50.7035
2023-02-10,50.3182
2023-02-09,51.1165
2023-02-08,51.0787
2023-02-07,50.2715
2023-02-06,50.0716
2023-02-03,50.2083
2023-02-02,50.1618
2023-02-01,49.4584
2023-01-31,49.1582
2023-01-30,49.2260
2023-01-27,49.5131
2023-01-26,49.1614
2023-01-25,48.5491
2023-01-24,49.0634
2023-01-23,48.9695
2023-01-20,48.5486
2023-01-19,48.4758
2023-01-18,48.9750
2023-01-17,48.7324
2023-01-13,48.6670
2023-01-12,48.5495
2023-01-11,48.2811
2023-01-10,48.0409
2023-01-09,47.9521
2023-01-06,47.7171
2023-01-05,47.9795
2023-01-04,48.2988
2023-01-03,48.9896
2022-12-30,48.6603
2022-12-29,48.4864
2022-12-28,48.5657
2022-12-27,48.6813
2022-12-23,48.5068
2022-12-22,48.8351
2022-12-21,48.8629
2022-12-20,48.7098
2022-12-19,49.0582
2022-12-16,49.2953
2022-12-15,49.6296
2022-12-14,49.8516
2022-12-13,50.1499
2022-12-12,49.2050
2022-12-09,49.0194
2022-12-08,49.0288
2022-12-07,49.0281
2022-12-06,49.4156
2022-12-05,49.4930
2022-12-02,49.3478
2022-12-01,49.6102
2022-11-30,48.7194
2022-11-29,48.7729
2022-11-28,49.0755
2022-11-25,49.1552
2022-11-23,49.0074
2022-11-22,48.9059
2022-11-21,48.7612
2022-11-18,48.8939
2022-11-17,48.5098
2022-11-16,48.8290
2022-11-15,48.9686
2022-11-14,48.7235
2022-11-11,48.7873
2022-11-10,48.2807
2022-11-09,47.7323
2022-11-08,47.8156
2022-11-07,47.3547
2022-11-04,47.0467
2022-11-03,47.2039
2022-11-02,47.7899
2022-11-01,48.1159
2022-10-31,48.0583
2022-10-28,47.5393
2022-10-27,47.8429
2022-10-26,47.8511
2022-10-25,48.8873
2022-10-24,48.6466
2022-10-21,48.0190
2022-10-20,48.0857
2022-10-19,48.1679
2022-10-18,48.5711
2022-10-17,48.0533
2022-10-14,48.0337
2022-10-13,46.9143
2022-10-12,47.2727
2022-10-11,47.4169
2022-10-10,47.7714
2022-10-07,48.2910
2022-10-06,48.7633
2022-10-05,48.6253
2022-10-04,48.5613
2022-10-03,47.8668
2022-09-30,48.0589
2022-09-29,48.0989
2022-09-28,47.9494
2022-09-27,48.1598
2022-09-26,47.9494
2022-09-23,48.1145
2022-09-22,47.9953
2022-09-21,48.4197
2022-09-20,48.2629
2022-09-19,48.2894
2022-09-16,48.4081
2022-09-15,48.7743
2022-09-14,49.0261
2022-09-13,49.3843
2022-09-12,49.8581
2022-09-09,49.4913
2022-09-08,49.2822
2022-09-07,49.0851
2022-09-06,49.1867
2022-09-02,49.5603
2022-09-01,49.3635
2022-08-31,49.8097
2022-08-30,49.8978
2022-08-29,49.8412
2022-08-26,50.7609
2022-08-25,50.6410
2022-08-24,50.5095
2022-08-23,50.5815
2022-08-22,50.9771
2022-08-19,51.4613
2022-08-18,51.5534
2022-08-17,51.5234
2022-08-16,51.6391
2022-08-15,51.5735
2022-08-12,51.4065
2022-08-11,51.5730
2022-08-10,51.3959
2022-08-09,50.8266
2022-08-08,51.1347
2022-08-05,50.8050
2022-08-04,50.9901
2022-08-03,50.6498
2022-08-02,50.5983
2022-08-01,50.7244
2022-07-29,50.7163
2022-07-28,50.1795
2022-07-27,49.5892
2022-07-26,49.4990
2022-07-25,49.5760
2022-07-22,49.8646
2022-07-21,49.4890
2022-07-20,49.4964
2022-07-19,49.3361
2022-07-18,49.4823
2022-07-15,49.2048
2022-07-14,48.8474
2022-07-13,48.8210
2022-07-12,49.8800
2022-07-11,49.8641
2022-07-08,49.8050
2022-07-07,49.8274
2022-07-06,49.7339
2022-07-05,49.2122
2022-07-01,49.2276
2022-06-30,49.2717
2022-06-29,49.3076
2022-06-28,49.7344
2022-06-27,50.0192
2022-06-24,49.5842
2022-06-23,49.1549
2022-06-22,48.8994
2022-06-21,48.7857
2022-06-17,48.3974
2022-06-16,48.4817
2022-06-15,48.6351
2022-06-14,48.3244
2022-06-13,48.4062
2022-06-10,49.4371
2022-06-09,49.9296
2022-06-08,50.2011
2022-06-07,49.8507
2022-06-06,50.2266
2022-06-03,50.1059
2022-06-02,49.6992
2022-06-01,50.4494
2022-05-31,50.2641
2022-05-27,49.9813
2022-05-26,49.5436
2022-05-25,49.2497
2022-05-24,49.2319
2022-05-23,49.0611
2022-05-20,49.1811
2022-05-19,48.9439
2022-05-18,49.5711
2022-05-17,49.7428
2022-05-16,49.3073
2022-05-13,49.1217
2022-05-12,49.1450
2022-05-11,49.6980
2022-05-10,50.1200
2022-05-09,50.0054
2022-05-06,50.3403
2022-05-05,51.1109
2022-05-04,50.9054
2022-05-03,51.0045
2022-05-02,50.5678
2022-04-29,51.3621
2022-04-28,51.1221
2022-04-27,50.9049
2022-04-26,50.5792
2022-04-25,50.2788
2022-04-22,50.8922
2022-04-21,51.4054
2022-04-20,51.4668
2022-04-19,50.7519
2022-04-18,50.7181
2022-04-14,51.4053
2022-04-13,51.0197
2022-04-12,51.5133
2022-04-11,51.7088
2022-04-08,52.3784
2022-04-07,52.1087
2022-04-06,52.7798
2022-04-05,53.4283
2022-04-04,53.2031
2022-04-01,53.1521
2022-03-31,53.5174
2022-03-30,53.5076
2022-03-29,53.5196
2022-03-28,52.8442
2022-03-25,52.9161
2022-03-24,52.4809
2022-03-23,52.5897
2022-03-22,52.5389
2022-03-21,52.4741
2022-03-18,52.2228
2022-03-17,52.0738
2022-03-16,51.7730
2022-03-15,51.1336
2022-03-14,51.1329
2022-03-11,51.7234
2022-03-10,51.3611
2022-03-09,51.3937
2022-03-08,50.9775
2022-03-07,51.8174
2022-03-04,52.2774
2022-03-03,52.9762
2022-03-02,52.4222
2022-03-01,52.5072
2022-02-28,52.3527
2022-02-25,52.4201
2022-02-24,50.6985
2022-02-23,52.1649
2022-02-22,51.7579
2022-02-18,52.4479
2022-02-17,52.7356
2022-02-16,52.9105
2022-02-15,52.9997
2022-02-14,52.5148
2022-02-11,53.3417
2022-02-10,53.4172
2022-02-09,53.9378
2022-02-08,53.2676
2022-02-07,53.7117
2022-02-04,53.2418
2022-02-03,54.0926
2022-02-02,54.1055
2022-02-01,54.1776
2022-01-31,54.0636
2022-01-28,53.3747
2022-01-27,53.5976
2022-01-26,54.0901
2022-01-25,52.7544
2022-01-24,52.8175
2022-01-21,53.8056
2022-01-20,54.4225
2022-01-19,54.1950
2022-01-18,54.0126
2022-01-14,54.0300
2022-01-13,55.6326
2022-01-12,55.5682
2022-01-11,55.0555
2022-01-10,54.7337
2022-01-07,55.2048
2022-01-06,55.1224
2022-01-05,56.4349
2022-01-04,57.3946
2022-01-03,57.4509
2021-12-31,57.7940
2021-12-30,58.1659
2021-12-29,58.1178
2021-12-28,58.3202
2021-12-27,57.7111
2021-12-23,57.4933
2021-12-22,57.1326
2021-12-21,56.7211
2021-12-20,56.4522
2021-12-17,56.5417
2021-12-16,58.1828
2021-12-15,57.5965
2021-12-14,58.1230
2021-12-13,58.9912
2021-12-10,58.5201
2021-12-09,58.4727
2021-12-08,58.5780
2021-12-07,58.2731
2021-12-06,57.6228
2021-12-03,58.5724
2021-12-02,58.4291
2021-12-01,59.0095
2021-11-30,59.0324
2021-11-29,59.0007
2021-11-26,58.9516
2021-11-24,59.1824
2021-11-23,59.2745
2021-11-22,60.1909
2021-11-19,60.0301
2021-11-18,59.6649
2021-11-17,59.7574
2021-11-16,59.4383
2021-11-15,59.6640
2021-11-12,59.3653
2021-11-11,59.1432
2021-11-10,59.5458
2021-11-09,59.8557
2021-11-08,59.8793
2021-11-05,60.0268
2021-11-04,59.5664
2021-11-03,59.6893
2021-11-02,59.3929
2021-11-01,59.5197
2021-10-29,58.9165
2021-10-28,58.9400
2021-10-27,58.2297
2021-10-26,57.7934
2021-10-25,57.6490
2021-10-22,57.7737
2021-10-21,57.4896
2021-10-20,57.7337
2021-10-19,57.6581
2021-10-18,57.2362
2021-10-15,57.1268
2021-10-14,56.8472
2021-10-13,56.4591
2021-10-12,56.5097
2021-10-11,56.2905
2021-10-08,56.6780
2021-10-07,56.5839
2021-10-06,55.7226
2021-10-05,55.5607
2021-10-04,55.9544
2021-10-01,55.4602
2021-09-30,55.8844
2021-09-29,55.8272
2021-09-28,56.3866
2021-09-27,57.1568
2021-09-24,57.4138
2021-09-23,57.4895
2021-09-22,57.2964
2021-09-21,57.2019
2021-09-20,57.2799
2021-09-17,58.2471
2021-09-16,58.2104
2021-09-15,58.1657
2021-09-14,57.8341
2021-09-13,57.6526
2021-09-10,57.7590
2021-09-09,58.0556
2021-09-08,57.9627
2021-09-07,58.1135
2021-09-03,58.1122
2021-09-02,58.2604
2021-09-01,58.3417
2021-08-31,58.5319
2021-08-30,58.2441
2021-08-27,58.0575
2021-08-26,58.3014
2021-08-25,58.7070
2021-08-24,58.7955
2021-08-23,58.6426
2021-08-20,58.3369
2021-08-19,57.3561
2021-08-18,57.7668
2021-08-17,57.7477
2021-08-16,57.8456
2021-08-13,57.5133
2021-08-12,57.2557
2021-08-11,57.3261
2021-08-10,57.5189
2021-08-09,57.6342
2021-08-06,57.5232
2021-08-05,57.3782
2021-08-04,57.3193
2021-08-03,57.2481
2021-08-02,57.3600
2021-07-30,57.2548
2021-07-29,57.3809
2021-07-28,57.7081
2021-07-27,57.7604
2021-07-26,57.7232
2021-07-23,57.5819
2021-07-22,57.2744
2021-07-21,56.8390
2021-07-20,56.7613
2021-07-19,56.8665
2021-07-16,57.2329
2021-07-15,57.2268
2021-07-14,57.2670
2021-07-13,56.8453
2021-07-12,57.0353
2021-07-09,56.7332
2021-07-08,56.8698
2021-07-07,57.1599
2021-07-06,57.0404
2021-07-02,56.5821
2021-07-01,56.2963
2021-06-30,56.4206
2021-06-29,56.2582
2021-06-28,56.0186
2021-06-25,56.0237
2021-06-24,56.0175
2021-06-23,56.0024
2021-06-22,55.7122
2021-06-21,55.4529
2021-06-18,55.4359
2021-06-17,55.1159
2021-06-16,55.4868
2021-06-15,55.5286
2021-06-14,55.3613
2021-06-11,55.3707
2021-06-10,55.0406
2021-06-09,54.9976
2021-06-08,55.1453
2021-06-07,54.6808
2021-06-04,54.4798
2021-06-03,54.2488
2021-06-02,54.5639
2021-06-01,54.9031
2021-05-28,54.8819
2021-05-27,54.9010
2021-05-26,54.9292
2021-05-25,54.9658
2021-05-24,54.6121
2021-05-21,54.5925
2021-05-20,54.2705
2021-05-19,53.8506
2021-05-18,54.5358
2021-05-17,54.5660
2021-05-14,54.4787
2021-05-13,54.1393
2021-05-12,54.1781
2021-05-11,54.4322
2021-05-10,55.1135
2021-05-07,55.2529
2021-05-06,54.7458
2021-05-05,55.0299
2021-05-04,55.2387
2021-05-03,55.5052
2021-04-30,55.1811
2021-04-29,55.8133
2021-04-28,55.8821
2021-04-27,56.4999
2021-04-26,56.5083
2021-04-23,56.1791
2021-04-22,56.4411
2021-04-21,56.3307
2021-04-20,56.2333
2021-04-19,56.4986
2021-04-16,56.4365
2021-04-15,56.3037
2021-04-14,56.2644
2021-04-13,56.2458
2021-04-12,56.0270
2021-04-09,55.8685
2021-04-08,55.8599
2021-04-07,55.4309
2021-04-06,55.4135
2021-04-05,54.9898
2021-04-01,54.6103
2021-03-31,54.1112
2021-03-30,54.1768
2021-03-29,54.5042
2021-03-26,54.0498
2021-03-25,54.4525
2021-03-24,54.7277
2021-03-23,54.6955
2021-03-22,54.0429
2021-03-19,54.1236
2021-03-18,54.2891
2021-03-17,54.6769
2021-03-16,54.6909
2021-03-15,54.5728
2021-03-12,54.4878
2021-03-11,54.5894
2021-03-10,54.8078
2021-03-09,54.4415
2021-03-08,54.3065
2021-03-05,54.1405
2021-03-04,53.8903
2021-03-03,54.4664
2021-03-02,54.9903
2021-03-01,54.8916
2021-02-26,54.5003
2021-02-25,54.5600
2021-02-24,54.3744
2021-02-23,54.4080
2021-02-22,55.1732
2021-02-19,55.8708
2021-02-18,55.6991
2021-02-17,55.6569
2021-02-16,56.0056
2021-02-12,55.9101
2021-02-11,56.0035
2021-02-10,56.0277
